product_id,software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
aws-s2n-tls,AWS s2n-tls,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490
aws-s2n-tls,AWS s2n-tls,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
aws-lc,AWS-LC,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
aws-lc,AWS-LC,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,Active,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616
aws-lc,AWS-LC,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
aws-lc,AWS-LC,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490
aws-lc,AWS-LC,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
amazon-web-services-aws,Amazon Web Services (AWS),ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
amazon-web-services-aws,Amazon Web Services (AWS),ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,Active,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616
amazon-web-services-aws,Amazon Web Services (AWS),ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
