software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
IBM Quantum Safe Toolkit,FIPS 140-3,4618,IBM Corporation,IBM® z/OS® Version 2 Release 4 System SSL Cryptographic Module,ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2023-09-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4618
IBM Quantum Safe Toolkit,FIPS 140-3,4755,IBM Corporation,IBM® Crypto for C,ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4755
IBM Quantum Safe Toolkit,FIPS 140-3,4789,IBM,IBM DataPower FIPS Provider,ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2024-09-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4789
IBM Quantum Safe Toolkit,FIPS 140-3,5078,IBM(R) Corporation,IBM® NVMe FlashCore™ Module 2,ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2025-10-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5078
IBM Quantum Safe Toolkit,FIPS 140-3,5088,IBM(R) Corporation,IBM® NVMe FlashCore™ Module 3,ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2025-11-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5088
IBM Quantum Safe Toolkit,FIPS 140-3,5094,IBM Corporation,IBM COS Linux Kernel Cryptographic API Cryptographic Module,ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2025-11-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5094
IBM Security Guardium Data Protection,Common Criteria,cc-ibm-z-os-version-2-release-5-uov5,IBM Corporation (Scheme: IT),IBM z/OS Version 2 Release 5,HSS,None,Active,2024-10-21,https://www.commoncriteriaportal.org/files/epfiles/st_zos_v2r5_v2.17.pdf
IBM Security Guardium Data Protection,Common Criteria,cc-ibm-z-os-version-2-release-5-ide2,IBM Corporation (Scheme: IT),IBM z/OS Version 2 Release 5,HSS,"EAL4+,ALC_FLR.3",Active,2025-09-29,https://www.commoncriteriaportal.org/files/epfiles/st_zos_v2r5_eal4+_2.17.pdf
IBM Security Guardium Data Protection,FIPS 140-3,2691,IBM® Corporation,"IBM® z/OS® Version 2 Release 1 Security Server RACF® Signature Verification Module [1], IBM® z/OS® Version 2 Release 2 Security Server RACF® Signature Verification Module [2], IBM® z/OS® Version 2 Release 3 Security Server RACF® Signature Verification Module [3] and IBM® z/OS® Version 2 Release 4 Security Server RACF® Signature Verification Module [4][5]",ML-KEM,FIPS 140-3 L3,Active,2016-07-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/2691
IBM Security Guardium Data Protection,FIPS 140-3,4079,IBM Corporation,IBM 4769-001 Cryptographic Coprocessor Security Module,ML-KEM,FIPS 140-3 L3,Active,2021-11-29,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4079
IBM Security Guardium Data Protection,FIPS 140-3,4404,IBM Corporation,IBM Cloud Object Storage System’s™ FIPS Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-01-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4404
IBM Security Guardium Data Protection,FIPS 140-3,4432,IBM Corporation,IBM® Security QRadar® SIEM Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-02-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4432
IBM Security Guardium Data Protection,FIPS 140-3,4530,IBM Corporation,IBM® z/VM® Version 7 Release 2 System SSL Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-06-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4530
IBM Security Guardium Data Protection,FIPS 140-3,4553,IBM,IBM 4769-001 Enterprise PKCS#11 HSM Cryptographic Coprocessor Security Module,ML-KEM,FIPS 140-3 L3,Active,2023-07-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4553
IBM Security Guardium Data Protection,FIPS 140-3,4558,IBM,IBM 4770-001 Enterprise PKCS#11 HSM Cryptographic Coprocessor Security Module,ML-KEM,FIPS 140-3 L3,Active,2023-08-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4558
IBM Security Guardium Data Protection,FIPS 140-3,4591,IBM Corporation,IBM® z/OS® Version 2 Release 4 ICSF PKCS #11 Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-09-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4591
IBM Security Guardium Data Protection,FIPS 140-3,4618,IBM Corporation,IBM® z/OS® Version 2 Release 4 System SSL Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-09-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4618
IBM Security Guardium Data Protection,FIPS 140-3,4755,IBM Corporation,IBM® Crypto for C,ML-KEM,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4755
IBM Security Guardium Data Protection,FIPS 140-3,4789,IBM,IBM DataPower FIPS Provider,ML-KEM,FIPS 140-3 L3,Active,2024-09-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4789
IBM Security Guardium Data Protection,FIPS 140-3,5078,IBM(R) Corporation,IBM® NVMe FlashCore™ Module 2,ML-KEM,FIPS 140-3 L3,Active,2025-10-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5078
IBM Security Guardium Data Protection,FIPS 140-3,5088,IBM(R) Corporation,IBM® NVMe FlashCore™ Module 3,ML-KEM,FIPS 140-3 L3,Active,2025-11-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5088
IBM Security Guardium Data Protection,FIPS 140-3,5094,IBM Corporation,IBM COS Linux Kernel Cryptographic API Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2025-11-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5094
IDEMIA Digital Identity Platform,ACVP,A6961,IDEMIA Secure Transactions,IDEMIA Sphere Cryptographic Library,"LMS, ML-DSA, ML-KEM, SLH-DSA",,Active,2025-05-28,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19694
IDEMIA Digital Identity Platform,FIPS 140-3,4827,IDEMIA,FIPS Applet on RookySE,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4827
IDEMIA Digital Identity Platform,FIPS 140-3,5024,IDEMIA,ID-One PIV 243 in NPIVP & CIV Configurations,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-06-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5024
